,short_name,lanes_length,population,lanes_per_1K,minx,miny,maxx,maxy
47,Рыбинск,1345.8327593520285,182383.0,7.379156825756942,38.8376999,58.0478419,38.8593936,58.0517139
38,Новокузнецк,3821.72654699451,544583.0,7.017711803333027,87.3210845,53.7838669,87.3695788,53.8000344
68,Электросталь,1022.7008702140183,152607.0,6.701533155189594,38.4460519,55.7991616,38.4912188,55.8014411
56,Таганрог,1608.4817640241022,248269.0,6.478786171548208,38.9145797,47.2103905,38.9213603,47.2212081
55,Ставрополь,2880.6183457814323,454488.0,6.338161504333298,41.9416254,45.0275554,41.9674539,45.0440604
70,Ярославль,3687.5073542781984,601403.0,6.1315080807348785,39.8354441,57.6229785,39.9219733,57.6414474
40,Омск,6814.729031510116,1139897.0,5.978372634992562,73.3320553,54.9625379,73.3860219,55.0245905
17,Иваново,2243.1433782322188,401505.0,5.586837967726974,40.9632647,56.9732519,41.0541701,57.0164168
61,Ульяновск,2737.6887325024354,625462.0,4.377066444488131,48.3631229,54.3047847,48.4832782,54.3228054
4,Барнаул,2684.949360894944,631124.0,4.254234288182583,83.7700546,53.3401191,83.7858271,53.3628796
8,Владивосток,2315.341048437529,600871.0,3.8533080285744012,131.8828118,43.1044139,131.9391489,43.1244279
32,Липецк,1381.4090697574482,485000.0,2.8482661232112334,39.5744343,52.6027564,39.5931816,52.6042855
3,Балашиха,1336.2518574051644,507307.0,2.6340102884548493,37.9735052,55.7436854,38.008631,55.7511687
33,Майкоп,341.609924726529,139084.0,2.456141071054392,40.1095904,44.6088355,40.1102878,44.6119175
9,Владикавказ,664.094044030239,301543.0,2.202319549882567,44.6831632,43.0310917,44.6898487,43.0351226
22,Калининград,983.568342837254,493256.0,1.9940321918785662,20.4991695,54.6943693,20.508782,54.7150108
60,Улан-Удэ,737.6488695252486,437514.0,1.6860006068954334,107.5939682,51.8367917,107.6024628,51.8408222
15,Домодедово,219.33336184337483,135070.0,1.623849573135225,37.8067177,55.3943381,37.8077369,55.396035
53,Смоленск,512.9714885925548,320170.0,1.602184741207967,32.0444201,54.7814609,32.0546789,54.804715
36,Нижневартовск,365.931680548336,278725.0,1.3128771389302574,76.4946921,60.9499798,76.4992734,60.9511936
45,Подольск,358.149738392012,309250.0,1.158123648801979,37.6146676,55.4741546,37.6153098,55.4773376
43,Пенза,347.84857443350035,516450.0,0.6735377566724762,44.9843791,53.2031392,44.9893788,53.204026
20,Йошкар-Ола,169.05163414726863,276155.0,0.6121621341176825,47.894817,56.627502,47.8958362,56.6289065
57,Томск,313.175442531666,568508.0,0.5508725339514413,84.9502372,56.4762872,84.9553442,56.4762872
42,Орёл,117.85991979826643,303696.0,0.38808518978934997,36.0106411,52.919269,36.0119392,52.9199806
